type_dengue,date,year,month,number
DHF,2018-05-07,2018,5,0.0
Dengue,2018-05-07,2018,5,62.0
DHF,2018-05-14,2018,5,1.0
Dengue,2018-05-14,2018,5,63.0
Dengue,2018-05-21,2018,5,64.0
DHF,2018-05-21,2018,5,1.0
Dengue,2018-05-28,2018,5,52.0
DHF,2018-05-28,2018,5,2.0
Dengue,2018-06-04,2018,6,75.0
DHF,2018-06-04,2018,6,0.0
Dengue,2018-06-11,2018,6,55.0
DHF,2018-06-11,2018,6,0.0
Dengue,2018-06-18,2018,6,59.0
DHF,2018-06-18,2018,6,2.0
Dengue,2018-06-25,2018,6,75.0
DHF,2018-06-25,2018,6,1.0
Dengue,2018-07-02,2018,7,56.0
DHF,2018-07-02,2018,7,2.0
DHF,2018-07-09,2018,7,0.0
Dengue,2018-07-09,2018,7,44.0
Dengue,2018-07-16,2018,7,41.0
DHF,2018-07-16,2018,7,0.0
Dengue,2018-07-23,2018,7,56.0
DHF,2018-07-23,2018,7,0.0
Dengue,2018-07-30,2018,7,50.0
DHF,2018-07-30,2018,7,1.0
Dengue,2018-08-06,2018,8,59.0
DHF,2018-08-06,2018,8,0.0
Dengue,2018-08-13,2018,8,42.0
DHF,2018-08-13,2018,8,1.0
Dengue,2018-08-20,2018,8,66.0
DHF,2018-08-20,2018,8,2.0
DHF,2018-08-27,2018,8,0.0
Dengue,2018-08-27,2018,8,75.0
DHF,2018-09-03,2018,9,1.0
Dengue,2018-09-03,2018,9,75.0
Dengue,2018-09-10,2018,9,49.0
DHF,2018-09-10,2018,9,0.0
Dengue,2018-09-17,2018,9,63.0
DHF,2018-09-17,2018,9,0.0
Dengue,2018-09-24,2018,9,40.0
DHF,2018-09-24,2018,9,0.0
Dengue,2018-10-01,2018,10,51.0
DHF,2018-10-01,2018,10,0.0
Dengue,2018-10-08,2018,10,51.0
DHF,2018-10-08,2018,10,0.0
Dengue,2018-10-15,2018,10,60.0
DHF,2018-10-15,2018,10,2.0
Dengue,2018-10-22,2018,10,78.0
DHF,2018-10-22,2018,10,0.0
DHF,2018-10-29,2018,10,0.0
Dengue,2018-10-29,2018,10,74.0
Dengue,2018-11-05,2018,11,71.0
DHF,2018-11-05,2018,11,0.0
Dengue,2018-11-12,2018,11,78.0
DHF,2018-11-12,2018,11,0.0
Dengue,2018-11-19,2018,11,97.0
DHF,2018-11-19,2018,11,0.0
Dengue,2018-11-26,2018,11,109.0
DHF,2018-11-26,2018,11,0.0
Dengue,2018-12-03,2018,12,113.0
DHF,2018-12-03,2018,12,1.0
Dengue,2018-12-10,2018,12,107.0
DHF,2018-12-10,2018,12,1.0
Dengue,2018-12-17,2018,12,127.0
DHF,2018-12-17,2018,12,1.0
Dengue,2018-12-24,2018,12,160.0
DHF,2018-12-24,2018,12,0.0
